Konto;Grupa;Nazwa;Rodzaj Pozycji
4;;Koszty wg rodzaju;
400-Amortyzacja;;Amortyzacja;
410-Materiały;;Zuzycie materiałów;
410-01-A_26;;Zuzycie materiałów - Materiały remontowe DIR;
410-01-01;;Zuzycie materiałów - Materiały remontowe DIR - Co Packaging Berzyna;
410-01-02;;Zuzycie materiałów - Materiały remontowe DIR - Co Packaging Karpicko;
410-01-03;;Zuzycie materiałów - Materiały remontowe DIR - Rigid Boxes;
410-01-04;;Zuzycie materiałów - Materiały remontowe DIR - eCommerce;
410-01-05;;Zuzycie materiałów - Materiały remontowe DIR - Koszty ogólne;
410-02-A_26;;Zuzycie materiałów - Materiały biurowe IND;
410-02-01;;Zuzycie materiałów - Materiały biurowe IND - Co Packaging Berzyna;
410-02-02;;Zuzycie materiałów - Materiały biurowe IND - Co Packaging Karpicko;
410-02-03;;Zuzycie materiałów - Materiały biurowe IND - Rigid Boxes;
410-02-04;;Zuzycie materiałów - Materiały biurowe IND - eCommerce;
410-02-05;;Zuzycie materiałów - Materiały biurowe IND - Koszty ogólne;
410-03-A_26;;Zuzycie materiałów - Środki czystości IND;
410-03-01;;Zuzycie materiałów - Środki czystości IND - Co Packaging Berzyna;
410-03-02;;Zuzycie materiałów - Środki czystości IND - Co Packaging Karpicko;
410-03-03;;Zuzycie materiałów - Środki czystości IND - Rigid Boxes;
410-03-04;;Zuzycie materiałów - Środki czystości IND - eCommerce;
410-03-05;;Zuzycie materiałów - Środki czystości IND - Koszty ogólne;
410-04-A_26;;Zuzycie materiałów - Paliwo;
410-04-01;;Zuzycie materiałów - Paliwo - Co Packaging Berzyna;
410-04-02;;Zuzycie materiałów - Paliwo - Co Packaging Karpicko;
410-04-03;;Zuzycie materiałów - Paliwo - Rigid Boxes;
410-04-04;;Zuzycie materiałów - Paliwo - eCommerce;
410-04-05;;Zuzycie materiałów - Paliwo - Koszty ogólne;
410-05-A_26;;Zuzycie materiałów - Pudła, kartony  (materiały do zleceń);
410-05-01;;Zuzycie materiałów - Pudła, kartony  (materiały do zleceń) - Co Packaging Berzyna;
410-05-02;;Zuzycie materiałów - Pudła, kartony  (materiały do zleceń) - Co Packaging Karpicko;
410-05-03;;Zuzycie materiałów - Pudła, kartony  (materiały do zleceń) - Rigid Boxes;
410-05-04;;Zuzycie materiałów - Pudła, kartony  (materiały do zleceń) - eCommerce;
410-05-05;;Zuzycie materiałów - Pudła, kartony  (materiały do zleceń) - Koszty ogólne;
410-06-A_26;;Zuzycie materiałów - Palety (materiały do zleceń);
410-06-01;;Zuzycie materiałów - Palety (materiały do zleceń) - Co Packaging Berzyna;
410-06-02;;Zuzycie materiałów - Palety (materiały do zleceń) - Co Packaging Karpicko;
410-06-03;;Zuzycie materiałów - Palety (materiały do zleceń) - Rigid Boxes;
410-06-04;;Zuzycie materiałów - Palety (materiały do zleceń) - eCommerce;
410-06-05;;Zuzycie materiałów - Palety (materiały do zleceń) - Koszty ogólne;
410-07-A_26;;Zuzycie materiałów - Taśma (materiały do zleceń);
410-07-01;;Zuzycie materiałów - Taśma (materiały do zleceń) - Co Packaging Berzyna;
410-07-02;;Zuzycie materiałów - Taśma (materiały do zleceń) - Co Packaging Karpicko;
410-07-03;;Zuzycie materiałów - Taśma (materiały do zleceń) - Rigid Boxes;
410-07-04;;Zuzycie materiałów - Taśma (materiały do zleceń) - eCommerce;
410-07-05;;Zuzycie materiałów - Taśma (materiały do zleceń) - Koszty ogólne;
410-08-A_26;;Zuzycie materiałów - Pozostałe materiały;
410-08-01;;Zuzycie materiałów - Pozostałe materiały - Co Packaging Berzyna;
410-08-02;;Zuzycie materiałów - Pozostałe materiały - Co Packaging Karpicko;
410-08-03;;Zuzycie materiałów - Pozostałe materiały - Rigid Boxes;
410-08-04;;Zuzycie materiałów - Pozostałe materiały - eCommerce;
410-08-05;;Zuzycie materiałów - Pozostałe materiały - Koszty ogólne;
410-09-A_26;;Zuzycie materiałów - Worki, folia  (materiały do zleceń);
410-09-01;;Zuzycie materiałów - Worki, folia  (materiały do zleceń) - Co Packaging Berzyna;
410-09-02;;Zuzycie materiałów - Worki, folia  (materiały do zleceń) - Co Packaging Karpicko;
410-09-03;;Zuzycie materiałów - Worki, folia  (materiały do zleceń) - Rigid Boxes;
410-09-04;;Zuzycie materiałów - Worki, folia  (materiały do zleceń) - eCommerce;
410-09-05;;Zuzycie materiałów - Worki, folia  (materiały do zleceń) - Koszty ogólne;
410-10-A_26;;Zuzycie materiałów - Energia;
410-10-01;;Zuzycie materiałów - Energia - Co Packaging Berzyna;
410-10-02;;Zuzycie materiałów - Energia - Co Packaging Karpicko;
410-10-03;;Zuzycie materiałów - Energia - Rigid Boxes;
410-10-04;;Zuzycie materiałów - Energia - eCommerce;
410-10-05;;Zuzycie materiałów - Energia - Koszty ogólne;
410-11-A_26;;Zuzycie materiałów - Gaz;
410-11-01;;Zuzycie materiałów - Gaz - Co Packaging Berzyna;
410-11-02;;Zuzycie materiałów - Gaz - Co Packaging Karpicko;
410-11-03;;Zuzycie materiałów - Gaz - Rigid Boxes;
410-11-04;;Zuzycie materiałów - Gaz - eCommerce;
410-11-05;;Zuzycie materiałów - Gaz - Koszty ogólne;
410-12-A_26;;Zuzycie materiałów - Pozostałe materiały do zleceń;
410-12-01;;Zuzycie materiałów - Pozostałe materiały do zleceń - Co Packaging Berzyna;
410-12-02;;Zuzycie materiałów - Pozostałe materiały do zleceń - Co Packaging Karpicko;
410-12-03;;Zuzycie materiałów - Pozostałe materiały do zleceń - Rigid Boxes;
410-12-04;;Zuzycie materiałów - Pozostałe materiały do zleceń - eCommerce;
410-12-05;;Zuzycie materiałów - Pozostałe materiały do zleceń - Koszty ogólne;
410-13-A_26;;Zuzycie materiałów - Klej (materiały do zleceń);
410-13-01;;Zuzycie materiałów - Klej (materiały do zleceń) - Co Packaging Berzyna;
410-13-02;;Zuzycie materiałów - Klej (materiały do zleceń) - Co Packaging Karpicko;
410-13-03;;Zuzycie materiałów - Klej (materiały do zleceń) - Rigid Boxes;
410-13-04;;Zuzycie materiałów - Klej (materiały do zleceń) - eCommerce;
410-13-05;;Zuzycie materiałów - Klej (materiały do zleceń) - Koszty ogólne;
410-14-A_26;;Zuzycie materiałów - Woda, ścieki;
410-14-01;;Zuzycie materiałów - Woda, ścieki - Co Packaging Berzyna;
410-14-02;;Zuzycie materiałów - Woda, ścieki - Co Packaging Karpicko;
410-14-03;;Zuzycie materiałów - Woda, ścieki - Rigid Boxes;
410-14-04;;Zuzycie materiałów - Woda, ścieki - eCommerce;
410-14-05;;Zuzycie materiałów - Woda, ścieki - Koszty ogólne;
410-15-A_26;;Zuzycie materiałów - Opakowania jednostkowe;
410-15-01;;Zuzycie materiałów - Opakowania jednostkowe - Co Packaging Berzyna;
410-15-02;;Zuzycie materiałów - Opakowania jednostkowe - Co Packaging Karpicko;
410-15-03;;Zuzycie materiałów - Opakowania jednostkowe - Rigid Boxes;
410-15-04;;Zuzycie materiałów - Opakowania jednostkowe - eCommerce;
410-15-05;;Zuzycie materiałów - Opakowania jednostkowe - Koszty ogólne;
410-16-A_26;;Zuzycie materiałów - Etykiety;
410-16-01;;Zuzycie materiałów - Etykiety - Co Packaging Berzyna;
410-16-02;;Zuzycie materiałów - Etykiety - Co Packaging Karpicko;
410-16-03;;Zuzycie materiałów - Etykiety - Rigid Boxes;
410-16-04;;Zuzycie materiałów - Etykiety - eCommerce;
410-16-05;;Zuzycie materiałów - Etykiety - Koszty ogólne;
410-17-A_26;;Zuzycie materiałów - Zużycie materiałów - rezerwa;
410-17-01;;Zuzycie materiałów - Zużycie materiałów - rezerwa - Co Packaging Berzyna;
410-17-02;;Zuzycie materiałów - Zużycie materiałów - rezerwa - Co Packaging Karpicko;
410-17-03;;Zuzycie materiałów - Zużycie materiałów - rezerwa - Rigid Boxes;
410-17-04;;Zuzycie materiałów - Zużycie materiałów - rezerwa - eCommerce;
410-17-05;;Zuzycie materiałów - Zużycie materiałów - rezerwa - Koszty ogólne;
410-18-A_26;;Zuzycie materiałów - Narzędzia, urządzenia DIR;
410-18-01;;Zuzycie materiałów - Narzędzia, urządzenia DIR - Co Packaging Berzyna;
410-18-02;;Zuzycie materiałów - Narzędzia, urządzenia DIR - Co Packaging Karpicko;
410-18-03;;Zuzycie materiałów - Narzędzia, urządzenia DIR - Rigid Boxes;
410-18-04;;Zuzycie materiałów - Narzędzia, urządzenia DIR - eCommerce;
410-18-05;;Zuzycie materiałów - Narzędzia, urządzenia DIR - Koszty ogólne;
410-19-A_26;;Zuzycie materiałów - Części do maszyn;
410-19-01;;Zuzycie materiałów - Części do maszyn - Co Packaging Berzyna;
410-19-02;;Zuzycie materiałów - Części do maszyn - Co Packaging Karpicko;
410-19-03;;Zuzycie materiałów - Części do maszyn - Rigid Boxes;
410-19-04;;Zuzycie materiałów - Części do maszyn - eCommerce;
410-19-05;;Zuzycie materiałów - Części do maszyn - Koszty ogólne;
420-Usługi;;Usługi obce;
420-01;;Usługi obce - Transport;
420-02;;Usługi obce - Usługa pracy;
420-03;;Usługi obce - Najem, dzierżawa (magazyn, produkcja);
420-04;;Usługi obce - Pozostałe;
420-05;;Usługi obce - Usł.telekomunikacyjne;
420-06;;Usługi obce - Usł. bankowe;
420-07;;Usługi obce - Remonty;
420-08;;Usługi obce - Najem, dzierżawa (biuro);
420-09;;Usługi obce - Leasing;
420-10;;Usługi obce - Uslugi sprzątania;
420-11;;Usługi obce - Uslugi doradcze;
420-12;;Usługi obce - Usługi marketingowe, reklama;
420-13;;Usługi obce - Usługa pracy - rezerwa;
420-14;;Usługi obce - Transport- rezerwa;
420-15;;Usługi obce - Najem produkcja - rezerwa;
420-16;;Usługi obce - Najem administracja - rezerwa;
420-17;;Usługi obce - Transport ogólny;
420-18;;Usługi obce - Usługa pracy (ogólne);
420-19;;Usługi obce - Pozostałe (Zlecenia);
420-20;;Usługi obce - Pozostałe (k.bezpośrednie);
420-21;;Usługi obce - Transport e-commerce;
430-Płace;;Wynagrodzenia;
430-11;;Wynagrodzenia - Osobowe produkcja;
430-12;;Wynagrodzenia - Osobowe administracja;
430-21;;Wynagrodzenia - Bezosobowe;
430-22;;Wynagrodzenia - Bezosobowe - prognoza;
430-23;;Wynagrodzenia - Chałupnicy;
430-31;;Wynagrodzenia - Premia;
430-32;;Wynagrodzenia - Premia - rezerwa;
430-91;;Wynagrodzenia - Osobowe;
430-92;;Wynagrodzenia - Chorobowe;
430-93;;Wynagrodzenia - Ekwiwalent za urlop ;
430-94;;Wynagrodzenia - Nadgodziny;
430-95;;Wynagrodzenia - Urlop;
430-96;;Wynagrodzenia - Opieka;
430-97;;Wynagrodzenia - Wyrównanie;
440-ŚP;;Świadczenia na rzecz pracowników;
460-Podatki i opłaty;;Podatki i opłaty;
463;;Podróże służbowe;
469-PK;;Pozostałe koszty proste;
469-1;;Pozostałe koszty proste - Koszty noclegów dla doradców;
469-2;;Pozostałe koszty proste - Pozostałe koszty proste;
469-3;;Pozostałe koszty proste - Prowizje od zleceń;
469-4;;Pozostałe koszty proste - Prowizja od zleceń - rezerwa;
490;;Rozliczenie kosztów;
701-Rodzaj przychodu poza granicami kraju;;Przychody z działalności uslugowej-ZAGRANICA;
702;;Wewnątrzwspólnotowa dostawa towarów PC02;
703-Rodzaj;;Przychody ze sprzedaży usług KRAJ;
704;;Koszt własny sprzedanych usług;
731-Miejsce;;Przychody ze sprzedaży towarów i materiałów;
731-1;;Przychody ze sprzedaży towarów i materiałów - Kraj;
731-2;;Przychody ze sprzedaży towarów i materiałów - Zagranica;
732-A_26;;Wartość sprzedanych towarów i materiałów;
732-01;;Wartość sprzedanych towarów i materiałów - Co Packaging Berzyna;
732-02;;Wartość sprzedanych towarów i materiałów - Co Packaging Karpicko;
732-03;;Wartość sprzedanych towarów i materiałów - Rigid Boxes;
732-04;;Wartość sprzedanych towarów i materiałów - eCommerce;
732-05;;Wartość sprzedanych towarów i materiałów - Koszty ogólne;
751-PF;;Przychody finansowe;
751-1;;Przychody finansowe - Odsetki;
751-2;;Przychody finansowe - Dodatnie różnice kursowe;
751-3;;Przychody finansowe - Pozostałe przychody finansowe;
751-4;;Przychody finansowe - Dodatnie różnice na dzień bilansowy;
751-5;;Przychody finansowe - Naliczone odsetki;
752-KF;;Koszty finansowe;
752-1;;Koszty finansowe - Odsetki;
752-2;;Koszty finansowe - Ujemne różnice kursowe;
752-3;;Koszty finansowe - Pozostałe koszty finansowe;
752-4;;Koszty finansowe - Ujemne różnice kursowe na dzień bilansowy;
761-PO;;Pozostałe przychody operacyjne;
761-1;;Pozostałe przychody operacyjne - Zysk ze zbycia niefinansowych aktywów trwałych;
761-2;;Pozostałe przychody operacyjne - Dotacje, darowizny;
761-3;;Pozostałe przychody operacyjne - Pozostałe przychody operacyjne;
762-KO;;Pozostałe koszty operacyjne;
762-1;;Pozostałe koszty operacyjne - Strata ze zbycia niefinansowych aktywów trwałych;
762-2;;Pozostałe koszty operacyjne - Darowizny;
762-3;;Pozostałe koszty operacyjne - Pozostałe koszty operacyjne;
762-4;;Pozostałe koszty operacyjne - Odsetki zapłacone kontrahentom;
762-5;;Pozostałe koszty operacyjne - Odsetki naliczone;
769;;Wydatki nie stanowiące KUP;